subject_code,sex,age,job,study_subject,nationality
ELTS,f,27,Kauffrau für Versicherungen,-,deutsch
RSHA,m,62,Informatiker,-,deutsch
RNHK,f,59,Heilpädagogin,-,deutsch
ERHN,f,33,Sozialpädagogin,Soziala Arbeit,deutsch
NEHI,m,33,student,Informatik,deutsch
UENN,f,22,student,Psychologie in IT,deutsch
ADTA,m,30,student,Psychologie,deutsch
LIKN,f,25,WiMi,-,deutsch
OTIA,m,22,student,Cognitive Science,deutsch
DTEA,f,24,student,Psychologie in IT,deutsch
IYNI,m,29,student,Psychologie in IT,deutsch
ILTI,m,23,student,Psychologie in IT,deutsch
ELTA,m,25,student,Psychologie in IT,deutsch
HYBE,m,26,student,Informatik,deutsch
